Назва;Модель;Ціна(грн);Посилання на товар
Смартфон Samsung Galaxy A52 8/256Gb Black (SM-A525FZKISEK);SM-A525FZKI;13999;https://comfy.ua/ua/smartfon-samsung-galaxy-a52-8-256gb-black-sm-a525fzkisek.html
Смартфон Samsung Galaxy M53 5G 6/128GB Brown (SM-M536BZNDSEK);SM-M536BZND;16499;https://comfy.ua/ua/smartfon-samsung-galaxy-m53-5g-6-128gb-brown-sm-m536bzndsek.html
Смартфон Samsung Galaxy M53 5G 6/128GB Green (SM-M536BZGDSEK);SM-M536BZGD;16499;https://comfy.ua/ua/smartfon-samsung-galaxy-m53-5g-6-128gb-green-sm-m536bzgdsek.html
Смартфон Samsung Galaxy S20FE 6/128Gb Blue (SM-G780GZBDSEK);SM-G780GZBD;18999;https://comfy.ua/ua/smartfon-samsung-galaxy-s20fe-6-128gb-blue-sm-g780gzbdsek.html
Смартфон Samsung Galaxy S21+ 8/128Gb Phantom Silver (SM-G996BZSDSEK);SM-G996BZSD;31999;https://comfy.ua/ua/smartfon-samsung-galaxy-s21-8-128gb-phantom-silver-sm-g996bzsdsek.html
Смартфон Samsung Galaxy S22 8/128Gb Light Violet (SM-S901BLVDSEK);SM-S901BLVD;36899;https://comfy.ua/ua/smartfon-samsung-galaxy-s22-8-128gb-light-violet-sm-s901blvdsek.html
Смартфон Samsung Galaxy S22+ 8/128Gb Phantom White (SM-S906BZWDSEK);SM-S906BZWD;39399;https://comfy.ua/ua/smartfon-samsung-galaxy-s22-8-128gb-phantom-white-sm-s906bzwdsek.html
Смартфон Samsung Galaxy S22 8/256Gb Light Violet (SM-S901BLVGSEK);SM-S901BLVG;39799;https://comfy.ua/ua/smartfon-samsung-galaxy-s22-8-256gb-light-violet-sm-s901blvgsek.html
Смартфон Samsung Galaxy Flip 4 8/256Gb Blue (SM-F721BLBHSEK);SM-F721BLBH;39999;https://comfy.ua/ua/smartfon-samsung-galaxy-flip-4-8-256gb-blue-sm-f721blbhsek.html
Смартфон Samsung Galaxy Fold 3 12/256Gb Phantom Silver (SM-F926BZSDSEK);SM-F926BZSD;45999;https://comfy.ua/ua/smartfon-samsung-galaxy-z-fold-3-12-256gb-phantom-silver-sm-f926bzsdsek.html
Смартфон Samsung Galaxy Fold 3 12/512Gb Phantom Silver (SM-F926BZSGSEK);SM-F926BZSG;45999;https://comfy.ua/ua/smartfon-samsung-galaxy-z-fold-3-12-512gb-phantom-silver-sm-f926bzsgsek.html
Смартфон Samsung Galaxy S22 Ultra 12/512Gb Green (SM-S908BZGHSEK);SM-S908BZGH;54999;https://comfy.ua/ua/smartfon-samsung-galaxy-s22-ultra-12-512gb-green-sm-s908bzghsek.html
Смартфон Samsung Galaxy Fold 3 12/512Gb Phantom Green (SM-F926BZGGSEK);SM-F926BZGG;59999;https://comfy.ua/ua/smartfon-samsung-galaxy-z-fold-3-12-512gb-phantom-green-sm-f926bzggsek.html
